,id,title,tags
0,tt3915174,Puss in Boots: The Last Wish,"['When', 'Puss', 'in', 'Boots', 'discovers', 'that', 'his', 'passion', 'for', 'adventure', 'has', 'taken', 'its', 'toll', 'and', 'he', 'has', 'burned', 'through', 'eight', 'of', 'his', 'nine', 'lives,', 'he', 'launches', 'an', 'epic', 'journey', 'to', 'restore', 'them', 'by', 'finding', 'the', 'mythical', 'Last', 'Wish.', 'AntonioBanderas', 'SalmaHayek', 'HarveyGuillén', 'FlorencePugh', 'JoelCrawford', 'JanuelMercado']"
4,tt0241527,Harry Potter and the Sorcerer's Stone,"['An', 'orphaned', 'boy', 'enrolls', 'in', 'a', 'school', 'of', 'wizardry,', 'where', 'he', 'learns', 'the', 'truth', 'about', 'himself,', 'his', 'family', 'and', 'the', 'terrible', 'evil', 'that', 'haunts', 'the', 'magical', 'world.', 'DanielRadcliffe', 'RupertGrint', 'RichardHarris', 'MaggieSmith', 'ChrisColumbus']"
5,tt1488589,Guillermo del Toro's Pinocchio,"['A', ""father's"", 'wish', 'magically', 'brings', 'a', 'wooden', 'boy', 'to', 'life', 'in', 'Italy,', 'giving', 'him', 'a', 'chance', 'to', 'care', 'for', 'the', 'child.', 'EwanMcGregor', 'DavidBradley', 'GregoryMann', 'BurnGorman', 'GuillermodelToro', 'MarkGustafson']"
9,tt3447590,Roald Dahl's Matilda the Musical,"['An', 'adaptation', 'of', 'the', 'Tony', 'and', 'Olivier', 'award-winning', 'musical.', 'Matilda', 'tells', 'the', 'story', 'of', 'an', 'extraordinary', 'girl', 'who,', 'armed', 'with', 'a', 'sharp', 'mind', 'and', 'a', 'vivid', 'imagination,', 'dares', 'to', 'take', 'a', 'stand', 'to', 'change', 'her', 'story', 'with', 'miraculous', 'results.', 'AlishaWeir', 'EmmaThompson', 'LashanaLynch', 'StephenGraham', 'MatthewWarchus']"
13,tt2953050,Encanto,"['A', 'Colombian', 'teenage', 'girl', 'has', 'to', 'face', 'the', 'frustration', 'of', 'being', 'the', 'only', 'member', 'of', 'her', 'family', 'without', 'magical', 'powers.', 'StephanieBeatriz', 'MaríaCeciliaBotero', 'JohnLeguizamo', 'MauroCastillo', 'JaredBush', 'ByronHoward', 'ChariseCastroSmith']"
14,tt0330373,Harry Potter and the Goblet of Fire,"['Harry', 'Potter', 'finds', 'himself', 'competing', 'in', 'a', 'hazardous', 'tournament', 'between', 'rival', 'schools', 'of', 'magic,', 'but', 'he', 'is', 'distracted', 'by', 'recurring', 'nightmares.', 'DanielRadcliffe', 'EmmaWatson', 'RupertGrint', 'EricSykes', 'MikeNewell']"
15,tt0089218,The Goonies,"['A', 'group', 'of', 'young', 'misfits', 'called', 'The', 'Goonies', 'discover', 'an', 'ancient', 'map', 'and', 'set', 'out', 'on', 'an', 'adventure', 'to', 'find', 'a', 'legendary', ""pirate's"", 'long-lost', 'treasure.', 'SeanAstin', 'JoshBrolin', 'JeffCohen', 'CoreyFeldman', 'RichardDonner']"
16,tt6467266,Sing 2,"['Buster', 'Moon', 'and', 'his', 'friends', 'must', 'persuade', 'reclusive', 'rock', 'star', 'Clay', 'Calloway', 'to', 'join', 'them', 'for', 'the', 'opening', 'of', 'a', 'new', 'show.', 'MatthewMcConaughey', 'ReeseWitherspoon', 'ScarlettJohansson', 'ToriKelly', 'GarthJennings', 'ChristopheLourdelet']"
17,tt1201607,Harry Potter and the Deathly Hallows: Part 2,"['Harry,', 'Ron,', 'and', 'Hermione', 'search', 'for', ""Voldemort's"", 'remaining', 'Horcruxes', 'in', 'their', 'effort', 'to', 'destroy', 'the', 'Dark', 'Lord', 'as', 'the', 'final', 'battle', 'rages', 'on', 'at', 'Hogwarts.', 'DanielRadcliffe', 'EmmaWatson', 'RupertGrint', 'MichaelGambon', 'DavidYates']"
18,tt0117008,Matilda,"['A', 'girl', 'gifted', 'with', 'a', 'keen', 'intellect', 'and', 'psychic', 'powers', 'uses', 'both', 'to', 'deal', 'with', 'her', 'crude,', 'distant', 'family', 'and', 'free', 'her', 'kind', 'teacher', 'from', 'their', 'sadistic', 'headmistress.', 'DannyDeVito', 'RheaPerlman', 'MaraWilson', 'EmbethDavidtz', 'DannyDeVito']"
