,id,title,tags
1,tt1630029,Avatar: The Way of Water,"['Jake', 'Sully', 'lives', 'with', 'his', 'newfound', 'family', 'formed', 'on', 'the', 'extrasolar', 'moon', 'Pandora.', 'Once', 'a', 'familiar', 'threat', 'returns', 'to', 'finish', 'what', 'was', 'previously', 'started,', 'Jake', 'must', 'work', 'with', 'Neytiri', 'and', 'the', 'army', 'of', 'the', ""Na'vi"", 'race', 'to', 'protect', 'their', 'home.', 'SamWorthington', 'ZoeSaldana', 'SigourneyWeaver', 'StephenLang', 'JamesCameron']"
2,tt6710474,Everything Everywhere All at Once,"['A', 'middle-aged', 'Chinese', 'immigrant', 'is', 'swept', 'up', 'into', 'an', 'insane', 'adventure', 'in', 'which', 'she', 'alone', 'can', 'save', 'existence', 'by', 'exploring', 'other', 'universes', 'and', 'connecting', 'with', 'the', 'lives', 'she', 'could', 'have', 'led.', 'MichelleYeoh', 'StephanieHsu', 'JamieLeeCurtis', 'KeHuyQuan', 'DanKwan', 'DanielScheinert']"
6,tt1825683,Black Panther,"[""T'Challa,"", 'heir', 'to', 'the', 'hidden', 'but', 'advanced', 'kingdom', 'of', 'Wakanda,', 'must', 'step', 'forward', 'to', 'lead', 'his', 'people', 'into', 'a', 'new', 'future', 'and', 'must', 'confront', 'a', 'challenger', 'from', 'his', ""country's"", 'past.', 'ChadwickBoseman', 'MichaelB.Jordan', ""LupitaNyong'o"", 'DanaiGurira', 'RyanCoogler']"
7,tt0499549,Avatar,"['A', 'paraplegic', 'Marine', 'dispatched', 'to', 'the', 'moon', 'Pandora', 'on', 'a', 'unique', 'mission', 'becomes', 'torn', 'between', 'following', 'his', 'orders', 'and', 'protecting', 'the', 'world', 'he', 'feels', 'is', 'his', 'home.', 'SamWorthington', 'ZoeSaldana', 'SigourneyWeaver', 'MichelleRodriguez', 'JamesCameron']"
9,tt13539646,The Wandering Earth II,"['Humans', 'built', 'huge', 'engines', 'on', 'the', 'surface', 'of', 'the', 'earth', 'to', 'find', 'a', 'new', 'home.', 'But', 'the', 'road', 'to', 'the', 'universe', 'is', 'perilous.', 'In', 'order', 'to', 'save', 'earth,', 'young', 'people', 'once', 'again', 'have', 'to', 'step', 'forward', 'to', 'start', 'a', 'race', 'against', 'time', 'for', 'life', 'and', 'death.', 'AndyLau', 'ZinaBlahusova', 'JingWu', 'ClaraLee', 'FrantGwo']"
11,tt0816692,Interstellar,"['A', 'team', 'of', 'explorers', 'travel', 'through', 'a', 'wormhole', 'in', 'space', 'in', 'an', 'attempt', 'to', 'ensure', ""humanity's"", 'survival.', 'MatthewMcConaughey', 'AnneHathaway', 'JessicaChastain', 'MackenzieFoy', 'ChristopherNolan']"
13,tt1392170,The Hunger Games,"['Katniss', 'Everdeen', 'voluntarily', 'takes', 'her', 'younger', ""sister's"", 'place', 'in', 'the', 'Hunger', 'Games:', 'a', 'televised', 'competition', 'in', 'which', 'two', 'teenagers', 'from', 'each', 'of', 'the', 'twelve', 'Districts', 'of', 'Panem', 'are', 'chosen', 'at', 'random', 'to', 'fight', 'to', 'the', 'death.', 'JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth', 'StanleyTucci', 'GaryRoss']"
14,tt1160419,Dune,"['A', 'noble', 'family', 'becomes', 'embroiled', 'in', 'a', 'war', 'for', 'control', 'over', 'the', ""galaxy's"", 'most', 'valuable', 'asset', 'while', 'its', 'heir', 'becomes', 'troubled', 'by', 'visions', 'of', 'a', 'dark', 'future.', 'TimothéeChalamet', 'RebeccaFerguson', 'Zendaya', 'OscarIsaac', 'DenisVilleneuve']"
18,tt1375666,Inception,"['A', 'thief', 'who', 'steals', 'corporate', 'secrets', 'through', 'the', 'use', 'of', 'dream-sharing', 'technology', 'is', 'given', 'the', 'inverse', 'task', 'of', 'planting', 'an', 'idea', 'into', 'the', 'mind', 'of', 'a', 'C.E.O.,', 'but', 'his', 'tragic', 'past', 'may', 'doom', 'the', 'project', 'and', 'his', 'team', 'to', 'disaster.', 'LeonardoDiCaprio', 'JosephGordon-Levitt', 'ElliotPage', 'KenWatanabe', 'ChristopherNolan']"
19,tt10872600,Spider-Man: No Way Home,"['With', ""Spider-Man's"", 'identity', 'now', 'revealed,', 'Peter', 'asks', 'Doctor', 'Strange', 'for', 'help.', 'When', 'a', 'spell', 'goes', 'wrong,', 'dangerous', 'foes', 'from', 'other', 'worlds', 'start', 'to', 'appear,', 'forcing', 'Peter', 'to', 'discover', 'what', 'it', 'truly', 'means', 'to', 'be', 'Spider-Man.', 'TomHolland', 'Zendaya', 'BenedictCumberbatch', 'JacobBatalon', 'JonWatts']"
20,tt4154796,Avengers: Endgame,"['After', 'the', 'devastating', 'events', 'of', 'Avengers:', 'Infinity', 'War', '(2018),', 'the', 'universe', 'is', 'in', 'ruins.', 'With', 'the', 'help', 'of', 'remaining', 'allies,', 'the', 'Avengers', 'assemble', 'once', 'more', 'in', 'order', 'to', 'reverse', ""Thanos'"", 'actions', 'and', 'restore', 'balance', 'to', 'the', 'universe.', 'RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo', 'ChrisHemsworth', 'AnthonyRusso', 'JoeRusso']"
24,tt1856101,Blade Runner 2049,"['Young', 'Blade', 'Runner', ""K's"", 'discovery', 'of', 'a', 'long-buried', 'secret', 'leads', 'him', 'to', 'track', 'down', 'former', 'Blade', 'Runner', 'Rick', 'Deckard,', ""who's"", 'been', 'missing', 'for', 'thirty', 'years.', 'HarrisonFord', 'RyanGosling', 'AnadeArmas', 'DaveBautista', 'DenisVilleneuve']"
25,tt0133093,The Matrix,"['When', 'a', 'beautiful', 'stranger', 'leads', 'computer', 'hacker', 'Neo', 'to', 'a', 'forbidding', 'underworld,', 'he', 'discovers', 'the', 'shocking', 'truth--the', 'life', 'he', 'knows', 'is', 'the', 'elaborate', 'deception', 'of', 'an', 'evil', 'cyber-intelligence.', 'KeanuReeves', 'LaurenceFishburne', 'Carrie-AnneMoss', 'HugoWeaving', 'LanaWachowski', 'LillyWachowski']"
27,tt11286314,Don't Look Up,"['Two', 'low-level', 'astronomers', 'must', 'go', 'on', 'a', 'giant', 'media', 'tour', 'to', 'warn', 'humankind', 'of', 'an', 'approaching', 'comet', 'that', 'will', 'destroy', 'planet', 'Earth.', 'LeonardoDiCaprio', 'JenniferLawrence', 'MerylStreep', 'CateBlanchett', 'AdamMcKay']"
29,tt0116629,Independence Day,"['The', 'aliens', 'are', 'coming', 'and', 'their', 'goal', 'is', 'to', 'invade', 'and', 'destroy', 'Earth.', 'Fighting', 'superior', 'technology,', ""mankind's"", 'best', 'weapon', 'is', 'the', 'will', 'to', 'survive.', 'WillSmith', 'BillPullman', 'JeffGoldblum', 'MaryMcDonnell', 'RolandEmmerich']"
32,tt6723592,Tenet,"['Armed', 'with', 'only', 'one', 'word,', 'Tenet,', 'and', 'fighting', 'for', 'the', 'survival', 'of', 'the', 'entire', 'world,', 'a', 'Protagonist', 'journeys', 'through', 'a', 'twilight', 'world', 'of', 'international', 'espionage', 'on', 'a', 'mission', 'that', 'will', 'unfold', 'in', 'something', 'beyond', 'real', 'time.', 'JohnDavidWashington', 'RobertPattinson', 'ElizabethDebicki', 'JuhanUlfsak', 'ChristopherNolan']"
33,tt6334354,The Suicide Squad,"['Supervillains', 'Harley', 'Quinn,', 'Bloodsport,', 'Peacemaker,', 'and', 'a', 'collection', 'of', 'nutty', 'cons', 'at', 'Belle', 'Reve', 'prison', 'join', 'the', 'super-secret,', 'super-shady', 'Task', 'Force', 'X', 'as', 'they', 'are', 'dropped', 'off', 'at', 'the', 'remote,', 'enemy-infused', 'island', 'of', 'Corto', 'Maltese.', 'MargotRobbie', 'IdrisElba', 'JohnCena', 'JoelKinnaman', 'JamesGunn']"
34,tt0088763,Back to the Future,"['Marty', 'McFly,', 'a', '17-year-old', 'high', 'school', 'student,', 'is', 'accidentally', 'sent', '30', 'years', 'into', 'the', 'past', 'in', 'a', 'time-traveling', 'DeLorean', 'invented', 'by', 'his', 'close', 'friend,', 'the', 'maverick', 'scientist', 'Doc', 'Brown.', 'MichaelJ.Fox', 'ChristopherLloyd', 'LeaThompson', 'CrispinGlover', 'RobertZemeckis']"
35,tt0482571,The Prestige,"['After', 'a', 'tragic', 'accident,', 'two', 'stage', 'magicians', 'in', '1890s', 'London', 'engage', 'in', 'a', 'battle', 'to', 'create', 'the', 'ultimate', 'illusion', 'while', 'sacrificing', 'everything', 'they', 'have', 'to', 'outwit', 'each', 'other.', 'ChristianBale', 'HughJackman', 'ScarlettJohansson', 'MichaelCaine', 'ChristopherNolan']"
36,tt0107290,Jurassic Park,"['A', 'pragmatic', 'paleontologist', 'touring', 'an', 'almost', 'complete', 'theme', 'park', 'on', 'an', 'island', 'in', 'Central', 'America', 'is', 'tasked', 'with', 'protecting', 'a', 'couple', 'of', 'kids', 'after', 'a', 'power', 'failure', 'causes', 'the', ""park's"", 'cloned', 'dinosaurs', 'to', 'run', 'loose.', 'SamNeill', 'LauraDern', 'JeffGoldblum', 'RichardAttenborough', 'StevenSpielberg']"
37,tt0478970,Ant-Man,"['Armed', 'with', 'a', 'super-suit', 'with', 'the', 'astonishing', 'ability', 'to', 'shrink', 'in', 'scale', 'but', 'increase', 'in', 'strength,', 'cat', 'burglar', 'Scott', 'Lang', 'must', 'embrace', 'his', 'inner', 'hero', 'and', 'help', 'his', 'mentor,', 'Dr.', 'Hank', 'Pym,', 'pull', 'off', 'a', 'plan', 'that', 'will', 'save', 'the', 'world.', 'PaulRudd', 'MichaelDouglas', 'CoreyStoll', 'EvangelineLilly', 'PeytonReed']"
38,tt0338013,Eternal Sunshine of the Spotless Mind,"['When', 'their', 'relationship', 'turns', 'sour,', 'a', 'couple', 'undergoes', 'a', 'medical', 'procedure', 'to', 'have', 'each', 'other', 'erased', 'from', 'their', 'memories', 'for', 'ever.', 'JimCarrey', 'KateWinslet', 'TomWilkinson', 'GerryRobertByrne', 'MichelGondry']"
