,id,title,tags
1,tt1630029,Avatar: The Way of Water,"['Jake', 'Sully', 'lives', 'with', 'his', 'newfound', 'family', 'formed', 'on', 'the', 'extrasolar', 'moon', 'Pandora.', 'Once', 'a', 'familiar', 'threat', 'returns', 'to', 'finish', 'what', 'was', 'previously', 'started,', 'Jake', 'must', 'work', 'with', 'Neytiri', 'and', 'the', 'army', 'of', 'the', ""Na'vi"", 'race', 'to', 'protect', 'their', 'home.', 'SamWorthington', 'ZoeSaldana', 'SigourneyWeaver', 'StephenLang', 'JamesCameron']"
3,tt6710474,Everything Everywhere All at Once,"['A', 'middle-aged', 'Chinese', 'immigrant', 'is', 'swept', 'up', 'into', 'an', 'insane', 'adventure', 'in', 'which', 'she', 'alone', 'can', 'save', 'existence', 'by', 'exploring', 'other', 'universes', 'and', 'connecting', 'with', 'the', 'lives', 'she', 'could', 'have', 'led.', 'MichelleYeoh', 'StephanieHsu', 'JamieLeeCurtis', 'KeHuyQuan', 'DanKwan', 'DanielScheinert']"
7,tt12593682,Bullet Train,"['Five', 'assassins', 'aboard', 'a', 'swiftly-moving', 'bullet', 'train', 'find', 'out', 'that', 'their', 'missions', 'have', 'something', 'in', 'common.', 'BradPitt', 'JoeyKing', 'AaronTaylor-Johnson', 'BrianTyreeHenry', 'DavidLeitch']"
8,tt1016150,All Quiet on the Western Front,"['A', 'young', 'German', ""soldier's"", 'terrifying', 'experiences', 'and', 'distress', 'on', 'the', 'western', 'front', 'during', 'World', 'War', 'I.', 'FelixKammerer', 'AlbrechtSchuch', 'AaronHilmer', 'MoritzKlaus', 'EdwardBerger']"
9,tt1745960,Top Gun: Maverick,"['After', 'thirty', 'years,', 'Maverick', 'is', 'still', 'pushing', 'the', 'envelope', 'as', 'a', 'top', 'naval', 'aviator,', 'but', 'must', 'confront', 'ghosts', 'of', 'his', 'past', 'when', 'he', 'leads', 'TOP', ""GUN's"", 'elite', 'graduates', 'on', 'a', 'mission', 'that', 'demands', 'the', 'ultimate', 'sacrifice', 'from', 'those', 'chosen', 'to', 'fly', 'it.', 'TomCruise', 'JenniferConnelly', 'MilesTeller', 'ValKilmer', 'JosephKosinski']"
12,tt1825683,Black Panther,"[""T'Challa,"", 'heir', 'to', 'the', 'hidden', 'but', 'advanced', 'kingdom', 'of', 'Wakanda,', 'must', 'step', 'forward', 'to', 'lead', 'his', 'people', 'into', 'a', 'new', 'future', 'and', 'must', 'confront', 'a', 'challenger', 'from', 'his', ""country's"", 'past.', 'ChadwickBoseman', 'MichaelB.Jordan', ""LupitaNyong'o"", 'DanaiGurira', 'RyanCoogler']"
13,tt1877830,The Batman,"['When', 'a', 'sadistic', 'serial', 'killer', 'begins', 'murdering', 'key', 'political', 'figures', 'in', 'Gotham,', 'Batman', 'is', 'forced', 'to', 'investigate', 'the', ""city's"", 'hidden', 'corruption', 'and', 'question', 'his', ""family's"", 'involvement.', 'RobertPattinson', 'ZoëKravitz', 'JeffreyWright', 'ColinFarrell', 'MattReeves']"
15,tt0499549,Avatar,"['A', 'paraplegic', 'Marine', 'dispatched', 'to', 'the', 'moon', 'Pandora', 'on', 'a', 'unique', 'mission', 'becomes', 'torn', 'between', 'following', 'his', 'orders', 'and', 'protecting', 'the', 'world', 'he', 'feels', 'is', 'his', 'home.', 'SamWorthington', 'ZoeSaldana', 'SigourneyWeaver', 'MichelleRodriguez', 'JamesCameron']"
16,tt13539646,The Wandering Earth II,"['Humans', 'built', 'huge', 'engines', 'on', 'the', 'surface', 'of', 'the', 'earth', 'to', 'find', 'a', 'new', 'home.', 'But', 'the', 'road', 'to', 'the', 'universe', 'is', 'perilous.', 'In', 'order', 'to', 'save', 'earth,', 'young', 'people', 'once', 'again', 'have', 'to', 'step', 'forward', 'to', 'start', 'a', 'race', 'against', 'time', 'for', 'life', 'and', 'death.', 'AndyLau', 'ZinaBlahusova', 'JingWu', 'ClaraLee', 'FrantGwo']"
20,tt1392170,The Hunger Games,"['Katniss', 'Everdeen', 'voluntarily', 'takes', 'her', 'younger', ""sister's"", 'place', 'in', 'the', 'Hunger', 'Games:', 'a', 'televised', 'competition', 'in', 'which', 'two', 'teenagers', 'from', 'each', 'of', 'the', 'twelve', 'Districts', 'of', 'Panem', 'are', 'chosen', 'at', 'random', 'to', 'fight', 'to', 'the', 'death.', 'JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth', 'StanleyTucci', 'GaryRoss']"
