,id,title,tags
1,tt11564570,Glass Onion,"['Famed', 'Southern', 'detective', 'Benoit', 'Blanc', 'travels', 'to', 'Greece', 'for', 'his', 'latest', 'case.', 'DanielCraig', 'EdwardNorton', 'KateHudson', 'DaveBautista', 'RianJohnson']"
5,tt1877830,The Batman,"['When', 'a', 'sadistic', 'serial', 'killer', 'begins', 'murdering', 'key', 'political', 'figures', 'in', 'Gotham,', 'Batman', 'is', 'forced', 'to', 'investigate', 'the', ""city's"", 'hidden', 'corruption', 'and', 'question', 'his', ""family's"", 'involvement.', 'RobertPattinson', 'ZoëKravitz', 'JeffreyWright', 'ColinFarrell', 'MattReeves']"
6,tt0068646,The Godfather,"['The', 'aging', 'patriarch', 'of', 'an', 'organized', 'crime', 'dynasty', 'in', 'postwar', 'New', 'York', 'City', 'transfers', 'control', 'of', 'his', 'clandestine', 'empire', 'to', 'his', 'reluctant', 'youngest', 'son.', 'MarlonBrando', 'AlPacino', 'JamesCaan', 'DianeKeaton', 'FrancisFordCoppola']"
7,tt8946378,Knives Out,"['A', 'detective', 'investigates', 'the', 'death', 'of', 'the', 'patriarch', 'of', 'an', 'eccentric,', 'combative', 'family.', 'DanielCraig', 'ChrisEvans', 'AnadeArmas', 'JamieLeeCurtis', 'RianJohnson']"
8,tt10233718,Vadh,"['After', 'their', 'son', 'moves', 'to', 'USA,', 'a', 'middle-class', 'married', 'couple', 'is', 'relentlessly', 'harassed', 'by', 'a', 'loan', 'shark.', 'SanjayMishra', 'NeenaGupta', 'ManavVij', 'SaurabhSachdeva', 'JaspalSinghSandhu', 'RajeevBarnwal']"
9,tt0993846,The Wolf of Wall Street,"['Based', 'on', 'the', 'true', 'story', 'of', 'Jordan', 'Belfort,', 'from', 'his', 'rise', 'to', 'a', 'wealthy', 'stock-broker', 'living', 'the', 'high', 'life', 'to', 'his', 'fall', 'involving', 'crime,', 'corruption', 'and', 'the', 'federal', 'government.', 'LeonardoDiCaprio', 'JonahHill', 'MargotRobbie', 'MatthewMcConaughey', 'MartinScorsese']"
10,tt11291274,The Unbearable Weight of Massive Talent,"['In', 'this', 'action-packed', 'comedy,', 'Nicolas', 'Cage', 'plays', 'Nick', 'Cage,', 'channeling', 'his', 'iconic', 'characters', 'as', ""he's"", 'caught', 'between', 'a', 'superfan', '(Pedro', 'Pascal)', 'and', 'a', 'CIA', 'agent', '(Tiffany', 'Haddish).', 'NicolasCage', 'PedroPascal', 'TiffanyHaddish', 'SharonHorgan', 'TomGormican']"
11,tt0110912,Pulp Fiction,"['The', 'lives', 'of', 'two', 'mob', 'hitmen,', 'a', 'boxer,', 'a', 'gangster', 'and', 'his', 'wife,', 'and', 'a', 'pair', 'of', 'diner', 'bandits', 'intertwine', 'in', 'four', 'tales', 'of', 'violence', 'and', 'redemption.', 'JohnTravolta', 'UmaThurman', 'SamuelL.Jackson', 'BruceWillis', 'QuentinTarantino']"
13,tt0468569,The Dark Knight,"['When', 'the', 'menace', 'known', 'as', 'the', 'Joker', 'wreaks', 'havoc', 'and', 'chaos', 'on', 'the', 'people', 'of', 'Gotham,', 'Batman', 'must', 'accept', 'one', 'of', 'the', 'greatest', 'psychological', 'and', 'physical', 'tests', 'of', 'his', 'ability', 'to', 'fight', 'injustice.', 'ChristianBale', 'HeathLedger', 'AaronEckhart', 'MichaelCaine', 'ChristopherNolan']"
14,tt0144084,American Psycho,"['A', 'wealthy', 'New', 'York', 'City', 'investment', 'banking', 'executive,', 'Patrick', 'Bateman,', 'hides', 'his', 'alternate', 'psychopathic', 'ego', 'from', 'his', 'co-workers', 'and', 'friends', 'as', 'he', 'delves', 'deeper', 'into', 'his', 'violent,', 'hedonistic', 'fantasies.', 'ChristianBale', 'JustinTheroux', 'JoshLucas', 'BillSage', 'MaryHarron']"
16,tt12477480,Decision to Leave,"['A', 'detective', 'investigating', 'a', ""man's"", 'death', 'in', 'the', 'mountains', 'meets', 'the', 'dead', ""man's"", 'mysterious', 'wife', 'in', 'the', 'course', 'of', 'his', 'dogged', 'sleuthing.', 'ParkHae-il', 'TangWei', 'LeeJung-hyun', 'GoKyung-Pyo', 'ParkChan-wook']"
18,tt15600222,An Action Hero,"['Youth', 'Icon.', 'Superstar.', 'Action', 'Hero.', 'At', 'the', 'age', 'of', 'just', '30,', 'Maanav', 'was', 'at', 'the', 'peak', 'of', 'his', 'career', 'when', 'he', 'got', 'caught', 'up', 'in', 'an', 'accident', 'while', 'filming', 'in', 'Haryana.', 'Maanav,', 'who', 'was', 'once', 'a', 'household', 'name,', 'is', 'now', 'living', 'in', 'hiding.', 'AyushmannKhurrana', 'JaideepAhlawat', 'NeerajMadhav', 'GautamJoglekar', 'AnirudhIyer']"
21,tt2911666,John Wick,"['An', 'ex-hit-man', 'comes', 'out', 'of', 'retirement', 'to', 'track', 'down', 'the', 'gangsters', 'that', 'killed', 'his', 'dog', 'and', 'took', 'his', 'car.', 'KeanuReeves', 'MichaelNyqvist', 'AlfieAllen', 'WillemDafoe', 'ChadStahelski', 'DavidLeitch']"
22,tt8367814,The Gentlemen,"['An', 'American', 'expat', 'tries', 'to', 'sell', 'off', 'his', 'highly', 'profitable', 'marijuana', 'empire', 'in', 'London,', 'triggering', 'plots,', 'schemes,', 'bribery', 'and', 'blackmail', 'in', 'an', 'attempt', 'to', 'steal', 'his', 'domain', 'out', 'from', 'under', 'him.', 'MatthewMcConaughey', 'CharlieHunnam', 'MichelleDockery', 'JeremyStrong', 'GuyRitchie']"
25,tt7888964,Nobody,"['A', 'docile', 'family', 'man', 'slowly', 'reveals', 'his', 'true', 'character', 'after', 'his', 'house', 'gets', 'burgled', 'by', 'two', 'petty', 'thieves,', 'which,', 'coincidentally,', 'leads', 'him', 'into', 'a', 'bloody', 'war', 'with', 'a', 'Russian', 'crime', 'boss.', 'BobOdenkirk', 'AlekseySerebryakov', 'ConnieNielsen', 'ChristopherLloyd', 'IlyaNaishuller']"
26,tt1392214,Prisoners,"['When', 'Keller', ""Dover's"", 'daughter', 'and', 'her', 'friend', 'go', 'missing,', 'he', 'takes', 'matters', 'into', 'his', 'own', 'hands', 'as', 'the', 'police', 'pursue', 'multiple', 'leads', 'and', 'the', 'pressure', 'mounts.', 'HughJackman', 'JakeGyllenhaal', 'ViolaDavis', 'MelissaLeo', 'DenisVilleneuve']"
27,tt0264464,Catch Me If You Can,"['Barely', '21', 'yet,', 'Frank', 'is', 'a', 'skilled', 'forger', 'who', 'has', 'passed', 'as', 'a', 'doctor,', 'lawyer', 'and', 'pilot.', 'FBI', 'agent', 'Carl', 'becomes', 'obsessed', 'with', 'tracking', 'down', 'the', 'con', 'man,', 'who', 'only', 'revels', 'in', 'the', 'pursuit.', 'LeonardoDiCaprio', 'TomHanks', 'ChristopherWalken', 'MartinSheen', 'StevenSpielberg']"
29,tt7286456,Joker,"['A', 'mentally', 'troubled', 'stand-up', 'comedian', 'embarks', 'on', 'a', 'downward', 'spiral', 'that', 'leads', 'to', 'the', 'creation', 'of', 'an', 'iconic', 'villain.', 'JoaquinPhoenix', 'RobertDeNiro', 'ZazieBeetz', 'FrancesConroy', 'ToddPhillips']"
31,tt0780536,In Bruges,"['Guilt-stricken', 'after', 'a', 'job', 'gone', 'wrong,', 'hitman', 'Ray', 'and', 'his', 'partner', 'await', 'orders', 'from', 'their', 'ruthless', 'boss', 'in', 'Bruges,', 'Belgium,', 'the', 'last', 'place', 'in', 'the', 'world', 'Ray', 'wants', 'to', 'be.', 'ColinFarrell', 'BrendanGleeson', 'CiaránHinds', 'ElizabethBerrington', 'MartinMcDonagh']"
32,tt0477348,No Country for Old Men,"['Violence', 'and', 'mayhem', 'ensue', 'after', 'a', 'hunter', 'stumbles', 'upon', 'a', 'drug', 'deal', 'gone', 'wrong', 'and', 'more', 'than', 'two', 'million', 'dollars', 'in', 'cash', 'near', 'the', 'Rio', 'Grande.', 'TommyLeeJones', 'JavierBardem', 'JoshBrolin', 'WoodyHarrelson', 'EthanCoen', 'JoelCoen']"
34,tt0075314,Taxi Driver,"['A', 'mentally', 'unstable', 'veteran', 'works', 'as', 'a', 'nighttime', 'taxi', 'driver', 'in', 'New', 'York', 'City,', 'where', 'the', 'perceived', 'decadence', 'and', 'sleaze', 'fuels', 'his', 'urge', 'for', 'violent', 'action.', 'RobertDeNiro', 'JodieFoster', 'CybillShepherd', 'AlbertBrooks', 'MartinScorsese']"
35,tt0099685,Goodfellas,"['The', 'story', 'of', 'Henry', 'Hill', 'and', 'his', 'life', 'in', 'the', 'mob,', 'covering', 'his', 'relationship', 'with', 'his', 'wife', 'Karen', 'Hill', 'and', 'his', 'mob', 'partners', 'Jimmy', 'Conway', 'and', 'Tommy', 'DeVito', 'in', 'the', 'Italian-American', 'crime', 'syndicate.', 'RobertDeNiro', 'RayLiotta', 'JoePesci', 'LorraineBracco', 'MartinScorsese']"
37,tt0114369,Se7en,"['Two', 'detectives,', 'a', 'rookie', 'and', 'a', 'veteran,', 'hunt', 'a', 'serial', 'killer', 'who', 'uses', 'the', 'seven', 'deadly', 'sins', 'as', 'his', 'motives.', 'MorganFreeman', 'BradPitt', 'KevinSpacey', 'AndrewKevinWalker', 'DavidFincher']"
