,id,title,tags
0,tt15679400,Knock at the Cabin,"['While', 'vacationing,', 'a', 'girl', 'and', 'her', 'parents', 'are', 'taken', 'hostage', 'by', 'armed', 'strangers', 'who', 'demand', 'that', 'the', 'family', 'make', 'a', 'choice', 'to', 'avert', 'the', 'apocalypse.', 'DaveBautista', 'JonathanGroff', 'RupertGrint', 'NikkiAmuka-Bird', 'M.NightShyamalan']"
1,tt9764362,The Menu,"['A', 'young', 'couple', 'travels', 'to', 'a', 'remote', 'island', 'to', 'eat', 'at', 'an', 'exclusive', 'restaurant', 'where', 'the', 'chef', 'has', 'prepared', 'a', 'lavish', 'menu,', 'with', 'some', 'shocking', 'surprises.', 'RalphFiennes', 'AnyaTaylor-Joy', 'NicholasHoult', 'HongChau', 'MarkMylod']"
2,tt8760708,M3GAN,"['A', 'robotics', 'engineer', 'at', 'a', 'toy', 'company', 'builds', 'a', 'life-like', 'doll', 'that', 'begins', 'to', 'take', 'on', 'a', 'life', 'of', 'its', 'own.', 'AllisonWilliams', 'VioletMcGraw', 'RonnyChieng', 'AmieDonald', 'GerardJohnstone']"
4,tt10365998,Infinity Pool,"['James', 'and', 'Em', 'Foster', 'are', 'enjoying', 'an', 'all-inclusive', 'beach', 'vacation', 'in', 'the', 'fictional', 'island', 'of', 'La', 'Tolqa,', 'when', 'a', 'fatal', 'accident', 'exposes', 'the', ""resort's"", 'perverse', 'subculture', 'of', 'hedonistic', 'tourism,', 'reckless', 'violence', 'and', 'surreal', 'horrors.', 'AlexanderSkarsgård', 'MiaGoth', 'CleopatraColeman', 'DunjaSepcic', 'BrandonCronenberg']"
6,tt14138650,The Pale Blue Eye,"['A', 'world-weary', 'detective', 'is', 'hired', 'to', 'investigate', 'the', 'murder', 'of', 'a', 'West', 'Point', 'cadet.', 'Stymied', 'by', 'the', ""cadets'"", 'code', 'of', 'silence,', 'he', 'enlists', 'one', 'of', 'their', 'own', 'to', 'help', 'unravel', 'the', 'case', '-', 'a', 'young', 'man', 'the', 'world', 'would', 'come', 'to', 'know', 'as', 'Edgar', 'Allan', 'Poe.', 'ChristianBale', 'HarryMelling', 'SimonMcBurney', 'TimothySpall', 'ScottCooper']"
7,tt13560574,X,"['In', '1979,', 'a', 'group', 'of', 'young', 'filmmakers', 'set', 'out', 'to', 'make', 'an', 'adult', 'film', 'in', 'rural', 'Texas,', 'but', 'when', 'their', 'reclusive,', 'elderly', 'hosts', 'catch', 'them', 'in', 'the', 'act,', 'the', 'cast', 'find', 'themselves', 'fighting', 'for', 'their', 'lives.', 'MiaGoth', 'JennaOrtega', 'BrittanySnow', 'KidCudi', 'TiWest']"
11,tt15791034,Barbarian,"['A', 'woman', 'staying', 'at', 'an', 'Airbnb', 'discovers', 'that', 'the', 'house', 'she', 'has', 'rented', 'is', 'not', 'what', 'it', 'seems.', 'GeorginaCampbell', 'BillSkarsgård', 'JustinLong', 'MatthewPatrickDavis', 'ZachCregger']"
12,tt18925334,Pearl,"['In', '1918,', 'a', 'young', 'woman', 'on', 'the', 'brink', 'of', 'madness', 'pursues', 'stardom', 'in', 'a', 'desperate', 'attempt', 'to', 'escape', 'the', 'drudgery,', 'isolation', 'and', 'lovelessness', 'of', 'life', 'on', 'her', ""parents'"", 'farm.', 'MiaGoth', 'DavidCorenswet', 'TandiWright', 'MatthewSunderland', 'TiWest']"
13,tt15474916,Smile,"['After', 'witnessing', 'a', 'bizarre,', 'traumatic', 'incident', 'involving', 'a', 'patient,', 'a', 'psychiatrist', 'becomes', 'increasingly', 'convinced', 'she', 'is', 'being', 'threatened', 'by', 'an', 'uncanny', 'entity.', 'SosieBacon', 'JessieT.Usher', 'KyleGallner', 'RobinWeigert', 'ParkerFinn']"
14,tt10954984,Nope,"['The', 'residents', 'of', 'a', 'lonely', 'gulch', 'in', 'inland', 'California', 'bear', 'witness', 'to', 'an', 'uncanny', 'and', 'chilling', 'discovery.', 'DanielKaluuya', 'KekePalmer', 'BrandonPerea', 'MichaelWincott', 'JordanPeele']"
16,tt10168670,Bones and All,"['Maren,', 'a', 'young', 'woman,', 'learns', 'how', 'to', 'survive', 'on', 'the', 'margins', 'of', 'society.', 'TimothéeChalamet', 'TaylorRussell', 'MarkRylance', 'KendleCoffey', 'LucaGuadagnino']"
17,tt11245972,Scream,"['25', 'years', 'after', 'a', 'streak', 'of', 'brutal', 'murders', 'shocked', 'the', 'quiet', 'town', 'of', 'Woodsboro,', 'Calif.,', 'a', 'new', 'killer', 'dons', 'the', 'Ghostface', 'mask', 'and', 'begins', 'targeting', 'a', 'group', 'of', 'teenagers', 'to', 'resurrect', 'secrets', 'from', 'the', ""town's"", 'deadly', 'past.', 'MelissaBarrera', 'NeveCampbell', 'CourteneyCox', 'DavidArquette', 'MattBettinelli-Olpin', 'TylerGillett']"
18,tt0144084,American Psycho,"['A', 'wealthy', 'New', 'York', 'City', 'investment', 'banking', 'executive,', 'Patrick', 'Bateman,', 'hides', 'his', 'alternate', 'psychopathic', 'ego', 'from', 'his', 'co-workers', 'and', 'friends', 'as', 'he', 'delves', 'deeper', 'into', 'his', 'violent,', 'hedonistic', 'fantasies.', 'ChristianBale', 'JustinTheroux', 'JoshLucas', 'BillSage', 'MaryHarron']"
21,tt8772262,Midsommar,"['A', 'couple', 'travels', 'to', 'Northern', 'Europe', 'to', 'visit', 'a', 'rural', ""hometown's"", 'fabled', 'Swedish', 'mid-summer', 'festival.', 'What', 'begins', 'as', 'an', 'idyllic', 'retreat', 'quickly', 'devolves', 'into', 'an', 'increasingly', 'violent', 'and', 'bizarre', 'competition', 'at', 'the', 'hands', 'of', 'a', 'pagan', 'cult.', 'FlorencePugh', 'JackReynor', 'VilhelmBlomgren', 'WilliamJacksonHarper', 'AriAster']"
22,tt7144666,The Black Phone,"['After', 'being', 'abducted', 'by', 'a', 'child', 'killer', 'and', 'locked', 'in', 'a', 'soundproof', 'basement,', 'a', '13-year-old', 'boy', 'starts', 'receiving', 'calls', 'on', 'a', 'disconnected', 'phone', 'from', 'the', ""killer's"", 'previous', 'victims.', 'MasonThames', 'MadeleineMcGraw', 'EthanHawke', 'JeremyDavies', 'ScottDerrickson']"
24,tt7784604,Hereditary,"['A', 'grieving', 'family', 'is', 'haunted', 'by', 'tragic', 'and', 'disturbing', 'occurrences.', 'ToniCollette', 'MillyShapiro', 'GabrielByrne', 'AlexWolff', 'AriAster']"
27,tt10403420,Terrifier 2,"['After', 'being', 'resurrected', 'by', 'a', 'sinister', 'entity,', 'Art', 'the', 'Clown', 'returns', 'to', 'the', 'timid', 'town', 'of', 'Miles', 'County', 'where', 'he', 'targets', 'a', 'teenage', 'girl', 'and', 'her', 'younger', 'brother', 'on', 'Halloween', 'night.', 'LaurenLaVera', 'JennaKanell', 'DavidHowardThornton', 'KaileyHyman', 'DamienLeone']"
28,tt4972582,Split,"['Three', 'girls', 'are', 'kidnapped', 'by', 'a', 'man', 'with', 'a', 'diagnosed', '23', 'distinct', 'personalities.', 'They', 'must', 'try', 'to', 'escape', 'before', 'the', 'apparent', 'emergence', 'of', 'a', 'frightful', 'new', '24th.', 'JamesMcAvoy', 'AnyaTaylor-Joy', 'HaleyLuRichardson', 'JessicaSula', 'M.NightShyamalan']"
29,tt14642626,Sick,"['Due', 'to', 'the', 'pandemic,', 'Parker', 'and', 'her', 'best', 'friend', 'decide', 'to', 'quarantine', 'at', 'the', 'family', 'lake', 'house', 'alone', '-', 'or', 'so', 'they', 'think.', 'GideonAdlon', 'BethlehemMillion', 'DylanSprayberry', 'MarcMenchaca', 'JohnHyams']"
30,tt5052448,Get Out,"['A', 'young', 'African-American', 'visits', 'his', 'white', ""girlfriend's"", 'parents', 'for', 'the', 'weekend,', 'where', 'his', 'simmering', 'uneasiness', 'about', 'their', 'reception', 'of', 'him', 'eventually', 'reaches', 'a', 'boiling', 'point.', 'DanielKaluuya', 'AllisonWilliams', 'BradleyWhitford', 'CatherineKeener', 'JordanPeele']"
31,tt0117571,Scream,"['A', 'year', 'after', 'the', 'murder', 'of', 'her', 'mother,', 'a', 'teenage', 'girl', 'is', 'terrorized', 'by', 'a', 'new', 'killer,', 'who', 'targets', 'the', 'girl', 'and', 'her', 'friends', 'by', 'using', 'horror', 'films', 'as', 'part', 'of', 'a', 'deadly', 'game.', 'NeveCampbell', 'CourteneyCox', 'DavidArquette', 'SkeetUlrich', 'WesCraven']"
32,tt13841850,Men,"['A', 'young', 'woman', 'goes', 'on', 'a', 'solo', 'vacation', 'to', 'the', 'English', 'countryside', 'following', 'the', 'death', 'of', 'her', 'ex-husband.', 'JessieBuckley', 'RoryKinnear', 'PaapaEssiedu', 'GayleRankin', 'AlexGarland']"
33,tt8110652,Bodies Bodies Bodies,"['When', 'a', 'group', 'of', 'rich', '20-somethings', 'plan', 'a', 'hurricane', 'party', 'at', 'a', 'remote', 'family', 'mansion,', 'a', 'party', 'game', 'turns', 'deadly', 'in', 'this', 'fresh', 'and', 'funny', 'look', 'at', 'backstabbing,', 'fake', 'friends,', 'and', 'one', 'party', 'gone', 'very,', 'very', 'wrong.', 'AmandlaStenberg', 'MariaBakalova', 'RachelSennott', 'ChaseSuiWonders', 'HalinaReijn']"
34,tt9419884,Doctor Strange in the Multiverse of Madness,"['Doctor', 'Strange', 'teams', 'up', 'with', 'a', 'mysterious', 'teenage', 'girl', 'from', 'his', 'dreams', 'who', 'can', 'travel', 'across', 'multiverses,', 'to', 'battle', 'multiple', 'threats,', 'including', 'other-universe', 'versions', 'of', 'himself,', 'which', 'threaten', 'to', 'wipe', 'out', 'millions', 'across', 'the', 'multiverse.', 'They', 'seek', 'help', 'from', 'Wanda', 'the', 'Scarlet', 'Witch,', 'Wong', 'and', 'others.', 'BenedictCumberbatch', 'ElizabethOlsen', 'ChiwetelEjiofor', 'BenedictWong', 'SamRaimi']"
36,tt0078748,Alien,"['The', 'crew', 'of', 'a', 'commercial', 'spacecraft', 'encounter', 'a', 'deadly', 'lifeform', 'after', 'investigating', 'an', 'unknown', 'transmission.', 'SigourneyWeaver', 'TomSkerritt', 'JohnHurt', 'VeronicaCartwright', 'RidleyScott']"
