,id,title,description,director,cast,rating
3,tt6710474,Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Dan Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan",8.0
9,tt1745960,Top Gun: Maverick,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer",8.3
16,tt13539646,The Wandering Earth II,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",Frant Gwo,"Andy Lau, 
Zina Blahusova, 
Jing Wu, 
Clara Lee",8.0
23,tt1160419,Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",8.0
28,tt0120737,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",8.8
33,tt0468569,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",9.0
34,tt1375666,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",8.8
35,tt10872600,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",8.2
38,tt0172495,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed",8.5
39,tt4154796,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",8.4
47,tt1856101,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista",8.0
52,tt0133093,The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, 
Lilly Wachowski","Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving",8.7
55,tt0082971,Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Steven Spielberg,"Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies",8.4
65,tt0113277,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,"Al Pacino, 
Robert De Niro, 
Val Kilmer, 
Jon Voight",8.3
69,tt0107290,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,"Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough",8.2
74,tt0167260,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom",9.0
79,tt1950186,Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitríona Balfe",8.1
84,tt2015381,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,"Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana",8.0
85,tt0110413,Léon: The Professional,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello",8.5
87,tt1392190,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,"Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz",8.1
