,id,title,description,director,cast,rating
36,tt0078748,Alien,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Ridley Scott,"Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright",8.5
46,tt0081505,The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,"Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers",8.4
86,tt0084787,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"Kurt Russell, 
Wilford Brimley, 
Keith David, 
Richard Masur",8.2
95,tt0070047,The Exorcist,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",William Friedkin,"Ellen Burstyn, 
Max von Sydow, 
Linda Blair, 
Lee J. Cobb",8.1
96,tt0054215,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,"Anthony Perkins, 
Janet Leigh, 
Vera Miles, 
John Gavin",8.5
200,tt0063522,Rosemary's Baby,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",Roman Polanski,"Mia Farrow, 
John Cassavetes, 
Ruth Gordon, 
Sidney Blackmer",8.0
350,tt0056687,What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,"Bette Davis, 
Joan Crawford, 
Victor Buono, 
Wesley Addy",8.0
531,tt20249418,Romancham,Based on real incidents that happened in the life of 7 bachelors in Bangalore in 2007 after playing the Ouija board and events followed by it.,Jithu Madhavan,"Soubin Shahir, 
Arjun Ashokan, 
Chemban Vinod Jose, 
Sajin Gopu",8.1
582,tt0010323,The Cabinet of Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,"Werner Krauss, 
Conrad Veidt, 
Friedrich Feher, 
Lil Dagover",8.0
943,tt0012364,The Phantom Carriage,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",Victor Sjöström,"Victor Sjöström, 
Hilda Borgström, 
Tore Svennberg, 
Astrid Holm",8.0
1017,tt8239946,Tumbbad,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Rahi Anil Barve, 
Anand Gandhi, 
Adesh Prasad","Sohum Shah, 
Jyoti Malshe, 
Anita Date-Kelkar, 
Ronjini Chakraborty",8.2
1265,tt13309170,Influencer,"While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn.",Kurtis David Harder,"Emily Tennant, 
Sara Canning, 
Cassandra Naud, 
Rory J Saper",8.1
1352,tt0046911,Diabolique,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Henri-Georges Clouzot,"Simone Signoret, 
Véra Clouzot, 
Paul Meurisse, 
Charles Vanel",8.1
1512,tt23572542,My Animal,"Heather, an outcast teenage goalie, falls for newcomer Jonny, an alluring but tormented figure skater. As their relationship deepens, Heather's growing desires clash with her darkest secret, forcing her to control the animal within.",Jacqueline Castel,"Bobbi Salvör Menuez, 
Amandla Stenberg, 
Heidi von Palleske, 
Stephen McHattie",8.1
1570,tt2478478,Dreams of Darkness,"Devastated by the disappearance of his wife, Derek Fabry enters a nightmarish world of the occult, erotic evil, and supernatural seduction as he tries to unravel the mystery of her vanishing.",Nikolai Malden,"Miles Jonn-Dalton, 
Pia Bertucci, 
Renee Domenz, 
Libby Amato",8.1
1641,tt25872924,Waktu Maghrib,In a village there is a girl who says goodbye to the mosque to pray maghrib to her father.,Sidharta Tata,"Ali Fikry, 
Bima Sena, 
Nafiza Fatia Rani, 
Andri Mashadi",8.7
1756,tt0063633,The Cremator,"Set in Central Europe during World War II, a demented cremator believes cremation relieves earthly suffering and sets out to save the world.",Juraj Herz,"Rudolf Hrusínský, 
Vlasta Chramostová, 
Jana Stehnová, 
Milos Vognic",8.0
2146,tt3461252,The Blue Elephant,"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying ...                See full summary »",Marwan Hamed,"Karim Abdel Aziz, 
Khaled El-Sawi, 
Nilli Karim, 
Mohamed Mamdouh",8.0
2422,tt0016847,Faust,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,F.W. Murnau,"Gösta Ekman, 
Emil Jannings, 
Camilla Horn, 
Frida Richard",8.1
2905,tt13871422,Enter the Drag Dragon,"Crunch is a part-time amateur detective / full-time Drag Queen. Crunch finds himself over his head dealing with corrupt cops, gangsters, zombies, androids, mummies and ghosts. Don't miss this first ever Drag-Fu Odyssey.",Lee Demarbre,"Jade London, 
Samnang Tep, 
Beatrice Beres, 
Dave Bignell",8.8
2912,tt12415546,Attack on Titan: Chronicle,A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.,"Masashi Koizuka, 
Tetsurô Araki","Yûki Kaji, 
Yui Ishikawa, 
Marina Inoue, 
Natsuki Aikawa",8.5
3083,tt12981538,Capra cu trei iezi,"Secluded from the world, in XIX century rural Romania, a widow and mother of three must defend what's left of her family, at all costs, from an old family friend turned foe. Based on one of...                See full summary »",Victor Canache,"Maia Morgenstern, 
Marius Bodochi, 
Razvan Ilina, 
Antonio Gavrila",8.2
3147,tt23874814,Backrooms: The Movie,Kane Pixels (Kane Parsons) Falls Into The Backrooms And Try's To Get Out Of It,Gideon Bratland,"Gideon Bratland, 
Kane Parsons",9.2
3213,tt1530535,Magnetic Rose,"""Magnetic Rose"" is about what happens when a deep space corporate freighter is called upon to investigate a distress signal from what ought to be a derelict space station. The space station...                See full summary »",Kôji Morimoto,"Shigeru Chiba, 
Ami Hasegawa, 
Masato Hirano, 
Tomoko Ishimura",8.2
3246,tt26542515,Suvarna Sundari,"Revolves around a fabled Trinethri Idol, and how it affects several lives in the course of its journey from the 15th century to modern times.",Surendra Madaarapu,"Sakshi Chaudhary, 
Shamna Kasim, 
Jaya Prada, 
Avinash",8.5
3278,tt11241394,Hair-Trigger,A group of novice criminals find themselves laying low in the middle of nowhere. Chaos and confusion set in as they find out they may not be alone.,Steven Gerald Warkel,"Emily Carlson, 
Chris Charais, 
Joseph Schwartz, 
Jeremy Frandrup",8.9
3375,tt4470260,The Arc,"A secret organization with a hidden agenda sets in motion the beginning of Armageddon. Governments have been infiltrated, law and order become an illusion, and humanity struggles to hang on...                See full summary »",J.T. Woods,"Maria Shamkalian, 
Samantha Ireland, 
Jeff Moffitt, 
Zephyr Ingle",9.1
3462,tt10515086,The Blue Elephant 2,"A meeting with a new inmate in the psychiatric hospital flips Dr. Yehia's life upside down, he prophesies that the death of his entire family is only three days away.",Marwan Hamed,"Karim Abdel Aziz, 
Nilli Karim, 
Hind Sabri, 
Eyad Nassar",8.0
3497,tt0087123,Strangler vs. Strangler,"A mentally-disturbed flower seller starts killing young girls on the streets of Belgrade. While the frustrated police inspector is trying to stop him, an aspiring musician finds his life and work deeply intertwined with that of a killer.",Slobodan Sijan,"Tasko Nacic, 
Nikola Simic, 
Srdjan Saper, 
Sonja Savic",8.1
3586,tt0165473,Demons,"After being robbed by a geisha, a ronin warrior carves a bloody path to seek revenge.",Toshio Matsumoto,"Katsuo Nakamura, 
Juro Kara, 
Yasuko Sanjo, 
Masao Imafuku",8.0
3827,tt7941892,Attack on Titan: The Roar of Awakening,"Eren Yeager and others of the 104th Training Corps have just become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose.",Masashi Koizuka,"Yûki Kaji, 
Yui Ishikawa, 
Marina Inoue, 
Hiro Shimono",8.4
3964,tt5061126,Rocky Horror Show Live,"A live stage production of the musical, filmed at the Playhouse Theatre in London, commemorating the 40th anniversary of the release of The Rocky Horror Picture Show (1975).",Christopher Luscombe,"Jayde Westaby, 
Haley Flaherty, 
Ben Forster, 
Stephen Fry",8.1
4061,tt23024514,Ballabhpurer Roopkotha,King Bhupati Ray of Ballabhpur is almost bankrupt. He plans to sell off his dilapidated ancestral mansion to repay his debts. But the ghost of an ancestor decides to play spoilsport.,Anirban Bhattacharya,"Satyam Bhattacharya, 
Surangana Banerjee, 
Debraj Bhattacharya, 
Shyamal Chakraborty",8.2
4076,tt8428550,Canvas,"When a demon known as 'The Painter' comes to Earth, FBI agent George Rohan finds himself tasked with covering up The Painter's multiplying murders. Meanwhile a journalist, Reila Martin works to unveil George's growing web of lies.",Ryan Guiterman,"Mandy Bishop, 
Tymon Brown, 
Marama Corlett, 
Isabel Ellison",8.0
4125,tt11416582,Amber Road,This is a horrific tale filled with twists and turns in a world where nothing is as it seems. A couple find themselves imprisoned by a serial killer driven by the demands and depravity of individuals finding a community on the dark web.,B. Luciano Barsuglia,"Rachel Riley, 
Elissa Dowling, 
William McNamara, 
Crystal J. Huang",8.2
4735,tt2351177,Bhooter Bhabishyat,"A rib-tickling comedy about a group of spirits who, in their various idiosyncrasies, try and save their only haunt, their resting place, when some unscrupulous builders try and break it down to build a modern monstrosity.",Anik Datta,"Swastika Mukherjee, 
Parambrata Chattopadhyay, 
Sabyasachi Chakrabarty, 
Samadarshi Dutta",8.1
4822,tt13053618,Casting Kill,"An identity fraudster posing as a casting director for a major Hollywood production, preys on actors desperate to win their big break.",James Smith,"Rob Laird, 
Rachel Chima, 
Jack Forsyth-Noble, 
Andrew Elias",8.0
4887,tt15658626,Here for Blood,"When his girlfriend, Phoebe, is swamped with college exams; Tom O'Bannon, a rowdy pro-wrestler struggling to make ends meet, agrees to fill in as a last-minute replacement for her well ...                See full summary »",Daniel Turres,"Shawn Roberts, 
Maya Misaljevic, 
Joelle Farrow, 
Tara Spencer-Nairn",8.5
5202,tt0214915,Manichithrathazhu,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Fazil,"Shobana, 
Mohanlal, 
Suresh Gopi, 
Vinaya Prasad",8.8
5288,tt15341964,Camera Error,Who knows about live murder? Will there be a camera malfunction or camera error?,Agaran,"Agaran, 
Sudhir Reddy Gujjula, 
Prabakar, 
Harini Prasanna",8.7
5495,tt23860842,Evil,"Film starts with anbu, he dreams a bad visual which he gets regularly in his dreams, so to understand about the nightmare he plans a trip with his Girlfriend Pavithra and along with roommate Harish to visit a haunted Church.",Jagan Aloysius,"Vijay Akash, 
Jeeva, 
Lavika, 
Nithya Raj",8.7
5508,tt3683440,Deyyam,This film explores the competing strengths of a father's love and an evil spirit's will to possess.,Ram Gopal Varma,"Tanikella Bharani, 
Swathi Deekshith, 
Swati Dixit, 
Aahuthi Prasad",8.0
5521,tt25030660,Keeping Secrets,"Determined to prove herself, a police officer must go undercover at a seedy lounge to catch a serial killer.",Omegia Keeys,"Bridgette Michelle Bentley, 
Jesse Dwight Bingham, 
Quincy Bonds, 
Scott Burkholder",8.6
5538,tt20863740,Miltown,"When an ancient being infiltrates an imaginative young man's family ranch, he must take it upon himself to discover who can be trusted and who is turning them against each other.","Chris Beyrooty, 
Connor Martin","Clay Flaten, 
John Adams, 
Zelda Adams, 
Henry Lynch",9.2
5700,tt14642156,Reunion from Hell 2,"Picking up two years after the events of the first film, we follow Riley Conner and his friends as they leave to celebrate Christmas at a secluded cabin in the mountains after an anonymous ...                See full summary »","Hayden Newman, 
Sam Hodge","Lisa Wilcox, 
Mark Patton, 
James Stokes, 
Danny Hassel",9.0
5954,tt9509866,The Guy Who Didn't Like Musicals,"Paul is an average guy. He likes movies, and pizza, and average guy things. He does not like - musicals. But Paul's small world is about to come crashing down under the weight of ...                See full summary »",Nick Lang,"Jon Matteson, 
Lauren Lopez, 
Joey Richter, 
Jaime Lyn Beatty",8.4
5956,tt19636300,Geetha,Geeta (Hebba Patel) is a dumb orphan girl. She runs an orphanage with the support of her childhood deaf friend Valli (Priya) . Geeta and Priya gathers list like who are not having children ...                See full summary »,Viswa R Rao,"Hebah Patel, 
Sunil",8.6
6103,tt10943762,The Red Tide Massacre,A female TV reporter investigating the red tide environmental disaster in Southwest Florida becomes the target of an unknown monster.,"John A. Russo, 
Gavin Peretti, 
Joseph M. Setele","Michael Paré, 
Susan Elle, 
Sam Schweikert, 
Rich Sands",9.0
