,id,title,tags
1,tt3915174,Puss in Boots: The Last Wish,"['When', 'Puss', 'in', 'Boots', 'discovers', 'that', 'his', 'passion', 'for', 'adventure', 'has', 'taken', 'its', 'toll', 'and', 'he', 'has', 'burned', 'through', 'eight', 'of', 'his', 'nine', 'lives,', 'he', 'launches', 'an', 'epic', 'journey', 'to', 'restore', 'them', 'by', 'finding', 'the', 'mythical', 'Last', 'Wish.', 'AntonioBanderas', 'SalmaHayek', 'HarveyGuillén', 'FlorencePugh', 'JoelCrawford', 'JanuelMercado']"
5,tt0120338,Titanic,"['A', 'seventeen-year-old', 'aristocrat', 'falls', 'in', 'love', 'with', 'a', 'kind', 'but', 'poor', 'artist', 'aboard', 'the', 'luxurious,', 'ill-fated', 'R.M.S.', 'Titanic.', 'LeonardoDiCaprio', 'KateWinslet', 'BillyZane', 'KathyBates', 'JamesCameron']"
11,tt9411972,Where the Crawdads Sing,"['A', 'woman', 'who', 'raised', 'herself', 'in', 'the', 'marshes', 'of', 'the', 'Deep', 'South', 'becomes', 'a', 'suspect', 'in', 'the', 'murder', 'of', 'a', 'man', 'with', 'whom', 'she', 'was', 'once', 'involved.', 'DaisyEdgar-Jones', 'TaylorJohnSmith', 'HarrisDickinson', 'DavidStrathairn', 'OliviaNewman']"
18,tt0119217,Good Will Hunting,"['Will', 'Hunting,', 'a', 'janitor', 'at', 'M.I.T.,', 'has', 'a', 'gift', 'for', 'mathematics,', 'but', 'needs', 'help', 'from', 'a', 'psychologist', 'to', 'find', 'direction', 'in', 'his', 'life.', 'RobinWilliams', 'MattDamon', 'BenAffleck', 'StellanSkarsgård', 'GusVanSant']"
19,tt0109830,Forrest Gump,"['The', 'presidencies', 'of', 'Kennedy', 'and', 'Johnson,', 'the', 'Vietnam', 'War,', 'the', 'Watergate', 'scandal', 'and', 'other', 'historical', 'events', 'unfold', 'from', 'the', 'perspective', 'of', 'an', 'Alabama', 'man', 'with', 'an', 'IQ', 'of', '75,', 'whose', 'only', 'desire', 'is', 'to', 'be', 'reunited', 'with', 'his', 'childhood', 'sweetheart.', 'TomHanks', 'RobinWright', 'GarySinise', 'SallyField', 'RobertZemeckis']"
20,tt0077631,Grease,"['Good', 'girl', 'Sandy', 'Olsson', 'and', 'greaser', 'Danny', 'Zuko', 'fell', 'in', 'love', 'over', 'the', 'summer.', 'When', 'they', 'unexpectedly', 'discover', ""they're"", 'now', 'in', 'the', 'same', 'high', 'school,', 'will', 'they', 'be', 'able', 'to', 'rekindle', 'their', 'romance?', 'JohnTravolta', 'OliviaNewton-John', 'StockardChanning', 'JeffConaway', 'RandalKleiser']"
27,tt1343092,The Great Gatsby,"['A', 'writer', 'and', 'wall', 'street', 'trader,', 'Nick,', 'finds', 'himself', 'drawn', 'to', 'the', 'past', 'and', 'lifestyle', 'of', 'his', 'millionaire', 'neighbor,', 'Jay', 'Gatsby.', 'LeonardoDiCaprio', 'CareyMulligan', 'JoelEdgerton', 'TobeyMaguire', 'BazLuhrmann']"
28,tt12477480,Decision to Leave,"['A', 'detective', 'investigating', 'a', ""man's"", 'death', 'in', 'the', 'mountains', 'meets', 'the', 'dead', ""man's"", 'mysterious', 'wife', 'in', 'the', 'course', 'of', 'his', 'dogged', 'sleuthing.', 'ParkHae-il', 'TangWei', 'LeeJung-hyun', 'GoKyung-Pyo', 'ParkChan-wook']"
29,tt3281548,Little Women,"['Jo', 'March', 'reflects', 'back', 'and', 'forth', 'on', 'her', 'life,', 'telling', 'the', 'beloved', 'story', 'of', 'the', 'March', 'sisters', '-', 'four', 'young', 'women,', 'each', 'determined', 'to', 'live', 'life', 'on', 'her', 'own', 'terms.', 'SaoirseRonan', 'EmmaWatson', 'FlorencePugh', 'ElizaScanlen', 'GretaGerwig']"
30,tt3783958,La La Land,"['While', 'navigating', 'their', 'careers', 'in', 'Los', 'Angeles,', 'a', 'pianist', 'and', 'an', 'actress', 'fall', 'in', 'love', 'while', 'attempting', 'to', 'reconcile', 'their', 'aspirations', 'for', 'the', 'future.', 'RyanGosling', 'EmmaStone', 'RosemarieDeWitt', 'J.K.Simmons', 'DamienChazelle']"
